Date,Open,High,Low,Close,Volume,Ticker
2023-01-01,150.00,155.50,149.20,153.20,1000000,AAPL
2023-01-02,153.20,158.00,152.00,157.40,1200000,AAPL
2023-01-03,157.40,159.90,155.00,154.10,1100000,AAPL
2023-01-04,154.10,155.00,150.50,151.20,950000,AAPL
2023-01-05,151.20,153.00,148.00,149.80,1050000,AAPL
2023-01-06,149.80,152.50,149.00,152.10,980000,AAPL
2023-01-07,152.10,154.00,151.00,153.50,1150000,AAPL
2023-01-08,153.50,156.00,152.50,155.80,1300000,AAPL
2023-01-09,155.80,157.00,154.20,156.40,1020000,AAPL
2023-01-10,156.40,158.50,155.50,157.90,1080000,AAPL
2023-01-11,157.90,160.00,157.00,159.20,1250000,AAPL
2023-01-12,159.20,162.00,158.50,161.40,1400000,AAPL
2023-01-13,161.40,163.50,160.00,162.80,1180000,AAPL
2023-01-14,162.80,165.00,162.00,164.20,1350000,AAPL
2023-01-15,164.20,166.50,163.50,165.90,1500000,AAPL
